OBJECTID,RegionID,COUNT,AREA,MEAN
183,190,204727,0.888571764268848,24.148695579967470
184,191,2249441,9.763195660507314,20.533064436897877
185,192,1361508,5.909321025688601,24.491178898691746
186,193,9320,0.040451375944480,22.381330472103006
187,194,118144,0.512777613689346,14.792609019501626
188,195,1356026,5.885527630524691,16.446715623446750
189,196,403542,1.751483814526561,29.939820390442630
190,197,935906,4.062090714023065,26.739311426574890
191,198,66,0.000286458241667,81.969696969696969
192,199,118263,0.513294106579624,25.046870111531078
193,200,3254,0.014123259369457,27.893054701905346
194,201,4583036,19.891642940245507,24.334510573340467
195,202,19146022,83.099027227821296,15.487723559494500
196,204,780325,3.386826173162741,26.437791945663665
197,205,64033,0.277920918009970,22.899910983399185
198,206,126425,0.548719442465767,27.239691516709513
199,207,389360,1.689930014779284,20.410632833367579
200,208,463826,2.013133036354572,14.204606900001293
201,209,2334546,10.132574882584031,27.151097900833825
202,210,21224192,92.118859410926561,32.990960032777693
203,211,314877,1.366653208505385,28.836567929699534
204,212,346799,1.505203511391619,29.086842810965429
205,213,13177218,57.192768156692644,25.202708037462838
206,214,2967247,12.878672094112869,18.835520602093457
207,215,45723,0.198450457329344,50.673446624237258
208,216,4909,0.021306416793075,17.112853941739662
209,217,14494299,62.909263723251904,19.982041145970562
210,218,322,0.001397568997223,22.388198757763973
211,219,1553400,6.742185342506009,12.090910261362174
212,220,4829623,20.961898674153407,13.269627463675736
213,221,135813,0.589465957204692,35.380066709372443
214,222,198848,0.863055279378547,10.936313163823623
215,223,3323458,14.424726286876746,14.059246724345545
216,224,10446839,45.342168650264028,19.442367495086312
217,225,244,0.001059027438890,31.717213114754099
218,226,34204,0.148454813605688,40.564203017190970
219,227,2550,0.011067704791677,26.627058823529413
220,228,15677,0.068042512948672,37.179626203993109
221,229,4385008,19.032146687505854,10.845514763028939
222,230,870,0.003776040458337,58.119540229885061
223,231,619532,2.688940111763508,16.531933782274361
224,232,18538631,80.462782411695329,61.077325774486802
225,233,7139312,30.986587306538731,22.616736318569632
226,234,2750398,11.937487499457863,24.663011680491334
227,235,12729,0.055247378154216,15.394610731400739
228,236,226145,0.981531803966153,13.611939242521391
229,237,1437835,6.240601301623618,10.415791102595222
230,238,2093102,9.084641190144209,29.341952757199600
231,239,4636015,20.121586443052657,16.029417721901243
232,240,3936341,17.084807900930507,13.307193914348376
233,241,521700,2.264322192085352,25.564861031244011
234,242,50,0.000217013819445,20.780000000000001
235,243,318060,1.380468308251231,51.589225303401875
236,244,21,0.000091145804167,49.380952380952380
237,245,73,0.000316840176389,51.616438356164380
238,247,227,0.000985242740279,51.083700440528638
239,248,2141703,9.295582962920786,25.519317571110467
240,249,2507235,10.882092871905533,23.816891117107094
241,250,3860128,16.754022416503823,26.940024527684056
242,251,5589368,24.259401959232733,27.476923330151102
243,252,3514922,15.255732965399709,23.093518433694971
244,253,5244731,22.763582125393903,27.482415399378919
245,254,1857445,8.061824677166909,18.294745201069212
246,255,2999,0.013016488890289,16.204401467155719
247,256,2776111,12.049089026245461,24.690659343232312
248,257,10055,0.043641479090317,45.369567379413226
249,258,27289,0.118441802376494,13.513283740701382
250,259,1120,0.004861109555560,34.033928571428568
251,260,2733,0.011861975370844,44.727039882912550
252,261,78136,0.339131835922524,30.144913996109349
253,262,3630788,15.758623429475158,37.486221723769056
254,263,942126,4.089087233161978,15.159750394320929
255,264,1603838,6.961100203008982,19.940062525018114
256,265,715056,3.103540673536100,19.612133874829382
257,266,3787,0.016436626684737,29.633218906786375
258,267,3601566,15.631791872838933,29.608760466974644
259,268,176,0.000763888644445,21.892045454545453
260,269,6171868,26.787612955762764,37.181056853451821
261,270,6115064,26.541067895768101,46.994618862533571
262,271,2910983,12.634470783368206,21.125719044048008
263,272,6172,0.026788185872246,23.220025923525601
264,273,1104699,4.794698986533440,16.986137400323528
265,274,7117619,30.892433690834480,18.369240331633375
266,275,2440133,10.590851645658050,24.473412309902780
267,276,5050148,21.919038124813980,18.128088721360246
268,277,1602478,6.955197427120089,18.310624545235566
269,278,1084,0.004704859605560,23.785055350553506
270,279,2269257,9.849202577429612,19.986271718011665
271,280,3622501,15.722655559040403,28.480373366356559
272,281,2087092,9.058556129046963,23.662603756806121
