"","X1.Basin.Name","Total_richness","Native_richness","Exotic_richness"
"2858","Vaiste.Laht",9,9,NA
"2859","Vaivara",1,1,NA
"2860","Valapattanam",64,62,2
"2861","Valcheta",5,4,1
"2862","Valdivia",17,12,5
"2863","Valgejogi",19,19,NA
"2864","Valkla",11,11,NA
"2865","Valle",8,8,NA
"2866","Valle.de.Mexico",10,9,1
"2867","Vamanapuram",25,25,NA
"2868","Van",11,10,1
"2869","Vanajogi",5,5,NA
"2870","Var",24,17,7
"2871","Vargas.creek",10,10,NA
"2872","Vasalemma",17,17,NA
"2873","Vashon.Island",23,23,NA
"2874","Vasiku",6,6,NA
"2875","Vasse",9,7,2
"2876","Vatnsdalsa",4,4,NA
"2877","Ve",45,44,1
"2878","Vefsna",8,7,1
"2879","Vega",10,10,NA
"2880","Veleka",15,15,NA
"2881","Vem",22,22,NA
"2882","Ventura",7,7,NA
"2883","Verde",28,20,8
"2884","Verlorenvlei",8,5,3
"2885","Vesturdalsa",3,3,NA
"2886","Vett.Aru",30,28,2
"2887","Victoria",56,56,NA
"2888","Victoria.lake",290,284,7
"2889","Vidaa",33,29,4
"2890","Vididalsa.Fitja",3,3,NA
"2891","Vignola",4,3,1
"2892","Vihterpalu",12,12,NA
"2893","Vilaine",42,27,15
"2894","Vinh.Tanh",42,42,NA
"2895","Vire",20,18,2
"2896","Viskan",19,18,1
"2897","Vistre",27,15,12
"2898","Volga",96,69,27
"2899","Volta",203,203,NA
"2900","Volturno",12,7,5
"2901","Vonnu",3,3,NA
"2902","Voronia",16,16,NA
"2903","Vosu",11,11,NA
"2904","Vouga",31,23,8
"2905","Vung.Bau",9,9,NA
"2906","Vyvenka",19,18,1
"2907","Waanje",80,80,NA
"2908","Waccasassa",60,60,NA
"2909","Wadi.Abadilah",1,1,NA
"2910","Wadi.Al.Ramthah",1,1,NA
"2911","Wadi.Bowa",1,1,NA
"2912","Wadi.Dhahr",1,1,NA
"2913","Wadi.Fayah",2,2,NA
"2914","Wadi.Fayd",3,3,NA
"2915","Wadi.Hadramaut",6,6,NA
"2916","Wadi.Halfain",2,2,NA
"2917","Wadi.Ham",2,2,NA
"2918","Wadi.Hatta",5,4,1
"2919","Wadi.Hiluw",1,1,NA
"2920","Wadi.Jizzi",1,1,NA
"2921","Wadi.Khulais",1,1,NA
"2922","Wadi.Madha",2,2,NA
"2923","Wadi.Maur",3,3,NA
"2924","Wadi.Muqayleet",1,1,NA
"2925","Wadi.Nashu",3,NA,3
"2926","Wadi.Qwar",2,2,NA
"2927","Wadi.Rabigh",1,1,NA
"2928","Wadi.SA1",2,2,NA
"2929","Wadi.SA2",1,1,NA
"2930","Wadi.Safad",1,1,NA
"2931","Wadi.Sharm",2,2,NA
"2932","Wadi.Shawkah",2,2,NA
"2933","Wadi.Wurayyah",1,1,NA
"2934","Wadi.Zikt",1,1,NA
"2935","Wadi.ad.Dawasir",3,3,NA
"2936","Wadi.al.Bahr",2,2,NA
"2937","Wadi.al.Hamd",3,3,NA
"2938","Wadi.al.Qabaili",3,3,NA
"2939","Wai Bian",40,39,1
"2940","Waianakarua",15,14,1
"2941","Waiapu",10,9,1
"2942","Waiatoto",10,9,1
"2943","Waiau",27,20,7
"2944","Waiau.2",21,16,5
"2945","Waigeo",7,7,NA
"2946","Waihao",15,11,4
"2947","Waiho",10,9,1
"2948","Waihopai",8,7,1
"2949","Waihou",24,14,10
"2950","Waikanae",18,17,1
"2951","Waikari",12,11,1
"2952","Waikato",33,19,14
"2953","Waikawa",9,8,1
"2954","Waikou",22,15,7
"2955","Waikouaiti",15,14,1
"2956","Waima",13,11,2
"2957","Waimai",7,7,NA
"2958","Waimakariri",28,20,8
"2959","Waimamaku",6,6,NA
"2960","Waimatuku",12,11,1
"2961","Waimea",18,16,2
"2962","Wainui",7,7,NA
"2963","Waioeka",17,13,4
"2964","Waiongana",12,10,2
"2965","Waiotahi",10,9,1
"2966","Waipaoa",13,11,2
"2967","Waipara",15,13,2
"2968","Waipoua",12,11,1
"2969","Waipu",10,9,1
"2970","Wairau",27,23,4
"2971","Wairaurahiri",10,9,1
"2972","Waireka",21,16,5
"2973","Wairoa.1",22,15,7
"2974","Wairoa.2",19,15,4
"2975","Wairoa.3",23,13,10
"2976","Waita",11,10,1
"2977","Waitaha",14,13,1
"2978","Waitahanui",11,10,1
"2979","Waitakaruru",5,5,NA
"2980","Waitaki",28,21,7
"2981","Waitangi",14,11,3
"2982","Waitangitaona",15,13,2
"2983","Waitara",24,19,5
"2984","Waitiki",10,9,1
"2985","Waitotara",11,8,3
"2986","Waituna.creek",10,9,1
"2987","Waitutu",10,8,2
"2988","Waiwawa",13,11,2
"2989","Walawe.Ganga",41,38,3
"2990","Walkabout.creek",8,8,NA
"2991","Walker.Aus",5,5,NA
"2992","Walker.USA",24,7,17
"2993","Wami.River",30,29,1
"2994","Wandandian.creek",11,10,1
"2995","Wanganui",22,14,8
"2996","Wanganui.2",12,11,1
"2997","Wanglou.He",28,27,1
"2998","Wanquan",73,69,4
"2999","Wapoga",44,44,NA
"3000","Warenai",3,3,NA
"3001","Waria",6,6,NA
"3002","Warner.valley",5,5,NA
"3003","Warren",14,11,3
"3004","Warrigal.creek",3,3,NA
"3005","Warsamson",1,1,NA
"3006","Warunta",21,21,NA
"3007","Watchie.Swamp",3,3,NA
"3008","Water.Park.creek",16,16,NA
"3009","Wattle.Hill.creek",5,5,NA
"3010","Waverley.creek",3,3,NA
"3011","Wawa",24,24,NA
"3012","Wawoi",30,30,NA
"3013","Waychinicup",2,2,NA
"3014","Wear",28,24,4
"3015","Wearyan",9,9,NA
"3016","Welcome",9,9,NA
"3017","Wen.He",61,60,1
"3018","Wenlock",51,51,NA
"3019","Werribee",24,16,8
"3020","Wes.Kleinemonderivier",41,41,NA
"3021","Weser",33,28,5
"3022","West.Alligator",21,21,NA
"3023","West.lakes",27,27,NA
"3024","West.river",35,31,4
"3025","Western.creek",2,2,NA
"3026","Whakatane",16,12,4
"3027","Whangaehu",12,6,6
"3028","Whangaparaoa",9,9,NA
"3029","Wharekahika",9,9,NA
"3030","Whataroa",9,8,1
"3031","White.Woman.creek",4,4,NA
"3032","Whitewater",31,2,29
"3033","Whompoe",37,33,4
"3034","Wicomico",33,33,NA
"3035","Wila.Oya",31,29,2
"3036","Wildman",38,38,NA
"3037","William.creek",2,2,NA
"3038","Winapsonggae",23,22,1
"3039","Wingan",17,16,1
"3040","Wisla",40,35,5
"3041","Withlacoochee",59,56,3
"3042","Woleu",41,41,NA
"3043","Wolga.je",22,21,1
"3044","Wollae",8,8,NA
"3045","Wolli.creek",14,13,1
"3046","Wolp.yong",32,30,2
"3047","Wombat.creek",11,10,1
"3048","Wonboyn",17,17,NA
"3049","Wood",10,10,NA
"3050","Wooli.Wooli",19,19,NA
"3051","Woomera.creek",3,3,NA
"3052","Wooramel",3,3,NA
"3053","Wouri",159,159,NA
"3054","Woyla",5,5,NA
"3055","Wuerhe.He",3,3,NA
"3056","Wulagai",10,10,NA
"3057","Wulumuqi",7,7,NA
"3058","Wye",32,20,12
"3059","Wyong",27,26,1
"3060","Xanthos",28,26,2
"3061","Xiaoling.He",28,25,3
"3062","Xingcheng.He",12,10,2
"3063","Yakati",11,11,NA
"3064","Yalu",148,146,2
"3065","Yan.Oya",34,32,2
"3066","Yana",34,34,NA
"3067","Yanbetsu",1,1,NA
"3068","Yang",31,29,2
"3069","Yanggil.li",29,27,2
"3070","Yangpo.hang",11,10,1
"3071","Yangsan",96,92,4
"3072","Yangtse",441,435,6
"3073","Yaqui",60,36,24
"3074","Yaracuy",35,34,1
"3075","Yarquon",12,9,3
"3076","Yarra",38,29,9
"3077","Yate",15,12,3
"3078","Yelcho",10,7,3
"3079","Yellow",89,89,NA
"3080","Yellow.Gin.creek",3,3,NA
"3081","Yenice",42,39,3
"3082","Yenisey",89,84,5
"3083","Yesilirmak",40,37,3
"3084","Yewa",47,47,NA
"3085","Yi.Shu.He",88,86,2
"3086","Yingna.He",36,34,2
"3087","Yok",43,41,2
"3088","Yondung.chon",19,18,1
"3089","Yoneshiro",3,3,NA
"3090","Yongdae.josuji",14,12,2
"3091","Yonghae.gang",22,21,1
"3092","Yongjiang",107,105,2
"3093","Yongjon.josuji",25,24,1
"3094","Yongju.josuji",35,34,1
"3095","Yongp.o",29,28,1
"3096","York.Can",9,7,2
"3097","York.USA",72,63,9
"3098","Yoshii.Okayama",43,37,6
"3099","Yosul.bangjuk",31,30,1
"3100","Young",4,4,NA
"3101","Yubetsu",1,1,NA
"3102","Yudong.josuji",33,31,2
"3103","Yui",8,8,NA
"3104","Yukon",36,33,3
"3105","Yule",13,13,NA
"3106","Zambezi",280,263,17
"3107","Zarrine",28,15,13
"3108","Zerout",4,2,2
"3109","Zhubijiang",16,15,1
"3110","Zhujiang",442,437,5
"3111","Ziatine",5,5,NA
"3112","Zimatlan",17,17,NA
"3113","Zingwe.Zingwe.River",3,3,NA
"3114","Zio",85,84,1
"3115","Ziway.Hayk",9,9,NA
"3116","Zohreh",16,15,1
"3117","Zotsha",30,30,NA
"3118","Zrmanja",11,11,NA
"3119","uMngeni",64,51,13
