"","X1.Basin.Name","Total_richness","Native_richness","Exotic_richness"
"1708","Mundau",96,94,2
"1709","Mundeni.Aru",33,31,2
"1710","Murchison",10,10,NA
"1711","Muromi",15,15,NA
"1712","Murrah",3,3,NA
"1713","Murray",22,16,6
"1714","Murray.Darling",73,59,14
"1715","Murray.creek",3,3,NA
"1716","Musa",6,6,NA
"1717","Musi",131,130,1
"1718","Musone",10,8,2
"1719","Mustoja",15,15,NA
"1720","Mwena",5,5,NA
"1721","Myakka",59,43,16
"1722","Myall.Crawford",25,24,1
"1723","Myonsu.dong",9,9,NA
"1724","Myponga",6,6,NA
"1725","Mzimkulu",28,28,NA
"1726","Mzimvubu",41,39,2
"1727","Mzumbe",2,1,1
"1728","Na.aman",9,9,NA
"1729","Nacaome",25,24,1
"1730","Nadgee",13,13,NA
"1731","Nadym",30,30,NA
"1732","Naeng.chon",14,13,1
"1733","Nagan",6,6,NA
"1734","Nahoon.River",14,10,4
"1735","Naivasha",8,1,7
"1736","Naka.Ibaraki",11,8,3
"1737","Nakdong",122,114,8
"1738","Nam.chon",32,31,1
"1739","Namadagas.Ara",30,28,2
"1740","Namak",29,16,13
"1741","Namakada.Aru",30,28,2
"1742","Nambari",7,4,3
"1743","Nambucca",42,41,1
"1744","Namdae",28,27,1
"1745","Namorona",8,1,7
"1746","Namphu",13,13,NA
"1747","Namsang.chon",33,32,1
"1748","Namsen",8,7,1
"1749","Nandu",102,94,8
"1750","Nanliujiang",85,82,3
"1751","Nansen.sui",20,19,1
"1752","Nanticoke",46,46,NA
"1753","Nantucket.Island",37,37,NA
"1754","Napa",26,13,13
"1755","Naposta.Chico",4,4,NA
"1756","Naposta.Grande",10,9,1
"1757","Naracoorte.creek",3,2,1
"1758","Narcea",14,9,5
"1759","Narira.creek",19,19,NA
"1760","Nariva",38,38,NA
"1761","Narmada",99,96,3
"1762","Narrabeen.lakes",14,12,2
"1763","Nass",30,29,1
"1764","Nassau",63,59,4
"1765","Nasva",10,10,NA
"1766","Natanebi",22,21,1
"1767","Natashquan",23,23,NA
"1768","Natori",3,2,1
"1769","Natron",8,8,NA
"1770","Natsui",1,1,NA
"1771","Natuna.Besar",19,19,NA
"1772","Nautla",24,24,NA
"1773","Nay.Aru",30,28,2
"1774","Nayba",12,12,NA
"1775","Nazas",35,24,11
"1776","Ndian",66,66,NA
"1777","Neches",117,109,8
"1778","Negro.Argentina",28,22,6
"1779","Negro.Nicaragua",15,15,NA
"1780","Negro.Uruguay",136,134,2
"1781","Nehalem",18,18,NA
"1782","Nehoue",4,2,2
"1783","Neka",33,25,8
"1784","Nelson",118,100,18
"1785","Nene",33,25,8
"1786","Nenu",4,4,NA
"1787","Nerang",7,6,1
"1788","Neretva",19,16,3
"1789","Nero",25,25,NA
"1790","Ness",12,11,1
"1791","Nestos",41,32,9
"1792","Neto",16,7,9
"1793","Neuse",113,95,18
"1794","Neva",48,46,2
"1795","Neveri",18,18,NA
"1796","New.Aus",2,2,NA
"1797","New.Belize",30,30,NA
"1798","New.Caledonia.un",12,10,2
"1799","New.River",17,16,1
"1800","Newcastle.Waters",8,8,NA
"1801","Neyyar",39,37,2
"1802","Ngakawau",5,5,NA
"1803","Ngakoroa",16,10,6
"1804","Ngaruroro",22,16,6
"1805","Nhundiaquara",41,41,NA
"1806","Nicholson.Leichhardt",64,63,1
"1807","Nickerie",124,123,1
"1808","Niemen",58,48,10
"1809","Niger",395,395,NA
"1810","Niida",2,2,NA
"1811","Nikshahr",10,9,1
"1812","Nile",179,178,1
"1813","Nilwala.Ganga",55,53,2
"1814","Nipah",3,3,NA
"1815","Nishibetsu",3,2,1
"1816","Nisqually",36,30,6
"1817","Nissan",19,17,2
"1818","Nith",22,16,6
"1819","Niyangolle.Ela",30,28,2
"1820","Noce",13,4,9
"1821","None.Given",1,1,NA
"1822","Nongmyong.soryuji",18,18,NA
"1823","Norga.Nina",3,3,NA
"1824","Normanby",47,47,NA
"1825","Norrstrom",30,28,2
"1826","North.Stann",20,20,NA
"1827","North.West.Bay",11,10,1
"1828","Northern",13,13,NA
"1829","Noun",6,5,1
"1830","Nouvelle",6,5,1
"1831","Nova",11,11,NA
"1832","Novo",64,62,2
"1833","Ntem",179,179,NA
"1834","Nueces",81,68,13
"1835","Nuhaka",9,9,NA
"1836","Nuku.Hiva1",8,8,NA
"1837","Nuku.Hiva2",8,8,NA
"1838","Nun1",3,3,NA
"1839","Nushagak",30,30,NA
"1840","Nuta",13,13,NA
"1841","Nyanga",49,49,NA
"1842","Nyong",139,139,NA
"1843","Ob",61,47,14
"1844","Obongje",42,40,2
"1845","Obryvisty",2,2,NA
"1846","Ochepukha",4,4,NA
"1847","Ochlockonee",86,80,6
"1848","Oconnor.creek",10,9,1
"1849","Odet",11,10,1
"1850","Odra",65,52,13
"1851","Oehwang.gang",14,13,1
"1852","Ogandi",6,6,NA
"1853","Ogeechee",80,76,4
